Epoch,loss,loss_D,ssim,ms_ssim,psnr,vif,mse
1,0.3660,0.7729,0.0043,0.2095,6.9235,0.0044,0.2070
2,0.3357,0.7663,0.0700,0.3928,10.0153,0.0153,0.1878
3,0.3188,0.7871,0.2165,0.4927,10.6304,0.0294,0.1857
4,0.3269,0.7645,0.2646,0.5081,11.0671,0.0308,0.1701
5,0.3138,0.8047,0.3522,0.5642,12.1153,0.0309,0.1054
6,0.3149,0.7901,0.4154,0.5965,12.9476,0.0353,0.0824
7,0.3026,0.8208,0.5569,0.6268,13.5875,0.0446,0.0658
8,0.2976,0.8249,0.5467,0.6412,14.2057,0.0420,0.0468
9,0.2942,0.8280,0.6622,0.7115,14.9638,0.0518,0.0380
10,0.3158,0.8018,0.6643,0.5536,12.3926,0.0280,0.0627
11,0.2921,0.8306,0.7291,0.6755,14.0618,0.0436,0.0448
12,0.2942,0.8282,0.7037,0.6843,14.1659,0.0439,0.0434
13,0.2912,0.8334,0.7095,0.7220,15.1607,0.0561,0.0353
14,0.2909,0.8370,0.7158,0.7436,15.4943,0.0563,0.0342
15,0.2904,0.8367,0.6983,0.7431,15.7073,0.0551,0.0332
16,0.2897,0.8393,0.7083,0.7478,15.7658,0.0566,0.0323
17,0.2893,0.8392,0.7264,0.7832,16.4471,0.0602,0.0287
18,0.2889,0.8394,0.7264,0.7931,16.7484,0.0648,0.0277
19,0.2888,0.8402,0.7312,0.7949,16.8177,0.0649,0.0280
20,0.2889,0.8406,0.7339,0.7968,16.7679,0.0656,0.0281
21,0.2886,0.8401,0.7373,0.8039,16.9923,0.0669,0.0269
22,0.2886,0.8403,0.7495,0.8135,17.2550,0.0740,0.0257
23,0.2887,0.8405,0.7409,0.8145,17.2009,0.0737,0.0255
24,0.2886,0.8406,0.7370,0.8159,17.2810,0.0730,0.0251
25,0.2885,0.8402,0.7338,0.8140,17.2037,0.0707,0.0256
26,0.2886,0.8405,0.7410,0.8112,17.1002,0.0719,0.0258
27,0.2885,0.8401,0.7479,0.8148,17.1110,0.0724,0.0259
28,0.2885,0.8408,0.7468,0.8157,17.1494,0.0717,0.0259
29,0.2885,0.8400,0.7494,0.8157,17.1070,0.0723,0.0261
30,0.2885,0.8405,0.7480,0.8109,17.0186,0.0709,0.0263
31,0.2886,0.8404,0.7502,0.8061,16.9021,0.0702,0.0271
32,0.2886,0.8406,0.7540,0.8139,17.0384,0.0719,0.0262
33,0.2884,0.8399,0.7612,0.8158,17.0884,0.0740,0.0262
34,0.2893,0.8401,0.7558,0.7656,15.8605,0.0607,0.0327
35,0.2892,0.8390,0.7698,0.7915,16.5267,0.0695,0.0292
36,0.2898,0.8386,0.7649,0.7848,16.5568,0.0704,0.0296
37,0.2892,0.8398,0.7614,0.7897,16.5097,0.0667,0.0295
38,0.2890,0.8394,0.7572,0.7847,16.4258,0.0655,0.0298
39,0.2888,0.8396,0.7669,0.8089,17.1463,0.0757,0.0264
40,0.2887,0.8393,0.7658,0.8115,17.0382,0.0744,0.0266
41,0.2886,0.8395,0.7647,0.8135,17.1440,0.0765,0.0260
42,0.2890,0.8399,0.7591,0.8061,16.9366,0.0729,0.0274
43,0.2888,0.8395,0.7732,0.8123,17.0874,0.0753,0.0266
44,0.2886,0.8390,0.7723,0.8107,16.9903,0.0756,0.0267
45,0.2887,0.8397,0.7754,0.8152,17.1183,0.0769,0.0261
46,0.2887,0.8396,0.7711,0.8103,16.9464,0.0743,0.0274
47,0.2888,0.8396,0.7726,0.8153,17.0621,0.0757,0.0265
48,0.2887,0.8394,0.7770,0.8141,17.0900,0.0792,0.0259
49,0.2888,0.8394,0.7770,0.8113,16.9884,0.0771,0.0264
50,0.2886,0.8396,0.7720,0.8156,17.0557,0.0752,0.0263
51,0.2890,0.8389,0.7704,0.8066,16.8008,0.0731,0.0280
52,0.2903,0.8391,0.7631,0.7692,16.1055,0.0635,0.0318
53,0.2931,0.8447,0.7545,0.7337,15.4913,0.0571,0.0353
54,0.2884,0.8359,0.7697,0.7938,16.7223,0.0694,0.0286
55,0.2883,0.8373,0.7707,0.8130,17.2204,0.0777,0.0261
56,0.2887,0.8380,0.7669,0.8136,17.0517,0.0755,0.0264
57,0.2887,0.8389,0.7704,0.8182,17.1722,0.0773,0.0261
58,0.2894,0.8392,0.7621,0.8079,16.9525,0.0710,0.0272
59,0.2904,0.8374,0.7740,0.8105,16.8925,0.0762,0.0271
60,0.2890,0.8393,0.7595,0.8045,16.9908,0.0749,0.0265
61,0.2891,0.8376,0.7669,0.8095,16.9897,0.0761,0.0266
62,0.2898,0.8393,0.7663,0.8117,16.9739,0.0789,0.0274
63,0.2902,0.8378,0.7534,0.7942,16.4981,0.0655,0.0287
64,0.2906,0.8372,0.7528,0.7895,16.5577,0.0669,0.0292
65,0.2899,0.8373,0.7558,0.7882,16.5161,0.0694,0.0292
66,0.2907,0.8367,0.7617,0.8024,16.8596,0.0750,0.0275
67,0.2908,0.8362,0.7599,0.8068,16.9570,0.0746,0.0271
68,0.2916,0.8350,0.7593,0.7983,16.8460,0.0745,0.0274
69,0.2915,0.8349,0.7598,0.8013,16.7622,0.0754,0.0279
70,0.2915,0.8348,0.7406,0.7961,16.7279,0.0698,0.0280
71,0.2914,0.8354,0.7477,0.7960,16.7735,0.0711,0.0278
72,0.2902,0.8365,0.7590,0.8091,17.0536,0.0778,0.0268
73,0.2909,0.8354,0.7579,0.8064,17.0947,0.0772,0.0267
74,0.2894,0.8382,0.7641,0.8109,17.2462,0.0809,0.0263
75,0.2906,0.8371,0.7679,0.8142,17.2968,0.0843,0.0257
76,0.2886,0.8376,0.7586,0.8140,17.3765,0.0830,0.0257
77,0.2895,0.8367,0.7648,0.8169,17.3988,0.0839,0.0254
78,0.2897,0.8379,0.7624,0.8124,17.1950,0.0811,0.0262
79,0.2893,0.8385,0.7702,0.8216,17.3978,0.0875,0.0252
80,0.2894,0.8386,0.7703,0.8140,17.2347,0.0851,0.0263
81,0.2883,0.8377,0.7814,0.8253,17.4782,0.0915,0.0250
82,0.2891,0.8385,0.7795,0.8199,17.3096,0.0880,0.0255
83,0.2891,0.8383,0.7773,0.8185,17.3469,0.0873,0.0257
84,0.2895,0.8383,0.7779,0.8177,17.2064,0.0867,0.0257
85,0.2976,0.8540,0.7444,0.7425,15.7072,0.0701,0.0380
86,0.2959,0.8323,0.7019,0.6035,12.8125,0.0381,0.0573
87,0.2927,0.8320,0.7471,0.7011,14.6568,0.0542,0.0402
88,0.2908,0.8339,0.6782,0.7302,15.5070,0.0521,0.0346
89,0.2922,0.8354,0.6127,0.7091,15.1142,0.0471,0.0362
90,0.2909,0.8332,0.6468,0.7453,15.9102,0.0561,0.0316
91,0.3035,0.8543,0.5046,0.6299,13.9795,0.0359,0.0483
92,0.2891,0.8362,0.4461,0.7019,15.3360,0.0389,0.0344
93,0.2882,0.8370,0.5237,0.7411,15.8892,0.0435,0.0310
94,0.2885,0.8369,0.6147,0.7686,16.2023,0.0539,0.0297
95,0.2884,0.8372,0.6607,0.7724,16.4013,0.0599,0.0292
96,0.2883,0.8376,0.6686,0.7710,16.4558,0.0574,0.0283
97,0.2884,0.8384,0.7096,0.7801,16.4208,0.0633,0.0288
98,0.2882,0.8383,0.7047,0.7913,16.7428,0.0647,0.0274
99,0.2884,0.8390,0.6990,0.7952,17.0719,0.0660,0.0262
100,0.2883,0.8392,0.7360,0.8057,17.0416,0.0715,0.0266
101,0.2884,0.8393,0.7458,0.8061,16.9001,0.0723,0.0268
102,0.2883,0.8389,0.7473,0.8108,16.9582,0.0739,0.0264
103,0.2883,0.8390,0.7598,0.8137,17.1284,0.0762,0.0259
104,0.2883,0.8395,0.7607,0.8135,17.0729,0.0766,0.0257
105,0.2884,0.8393,0.7567,0.8154,17.1314,0.0746,0.0256
106,0.2881,0.8389,0.7581,0.8160,17.1372,0.0766,0.0257
107,0.2884,0.8394,0.7596,0.8053,16.8396,0.0745,0.0272
108,0.2886,0.8395,0.7561,0.7935,16.6751,0.0711,0.0276
109,0.2880,0.8389,0.7760,0.8193,17.0521,0.0794,0.0257
110,0.2883,0.8385,0.7627,0.8149,17.1143,0.0767,0.0255
111,0.2885,0.8394,0.7619,0.8116,17.0434,0.0752,0.0263
112,0.2881,0.8387,0.7755,0.8224,17.3734,0.0830,0.0247
113,0.2885,0.8390,0.7662,0.8070,17.0669,0.0776,0.0261
114,0.2884,0.8389,0.7675,0.8104,17.0431,0.0782,0.0259
115,0.2882,0.8390,0.7615,0.8020,17.0460,0.0744,0.0261
116,0.2884,0.8395,0.7696,0.8082,16.9444,0.0783,0.0264
117,0.2899,0.8407,0.7477,0.7556,15.7910,0.0626,0.0319
118,0.2895,0.8388,0.7461,0.7638,16.1610,0.0656,0.0316
119,0.2887,0.8395,0.7493,0.7927,16.5753,0.0692,0.0284
120,0.2883,0.8387,0.7413,0.8118,17.0877,0.0753,0.0256
121,0.2881,0.8387,0.7624,0.8181,17.1791,0.0799,0.0252
122,0.2885,0.8391,0.7725,0.8165,17.0743,0.0810,0.0256
123,0.2882,0.8384,0.7715,0.8089,16.8269,0.0794,0.0268
124,0.2888,0.8395,0.7705,0.8153,17.2013,0.0826,0.0261
125,0.2886,0.8398,0.7643,0.8178,17.1000,0.0833,0.0259
126,0.2881,0.8380,0.7683,0.8269,17.3843,0.0892,0.0247
127,0.2883,0.8388,0.7624,0.8196,17.1687,0.0822,0.0253
128,0.2888,0.8388,0.7574,0.8103,17.0100,0.0796,0.0262
129,0.2884,0.8391,0.7648,0.8038,16.8592,0.0798,0.0279
130,0.2890,0.8399,0.7644,0.7944,16.7972,0.0771,0.0280
131,0.2885,0.8387,0.7661,0.8104,17.0502,0.0824,0.0261
132,0.2883,0.8382,0.7642,0.8179,17.2582,0.0834,0.0256
133,0.2884,0.8391,0.7705,0.8204,17.3869,0.0856,0.0250
134,0.2881,0.8379,0.7782,0.8260,17.5523,0.0884,0.0245
